"Site","Plot","Fires","Frame","Species","Distance_m","Distance_ft","Live.Dead"
"DALTON","7_3",3,5,"BENE",0.6,NA,"L"
"DALTON","7_3",3,5,"SALIX",1.35,NA,"L"
"DALTON","7_3",3,5,"ALCR",1,NA,"L"
"DALTON","7_3",3,6,"BENE",0.6,NA,"L"
"DALTON","7_3",3,6,"SALIX",1.4,NA,"L"
"DALTON","7_3",3,6,"ALCR",1.4,NA,"L"
"DALTON","7_3",3,7,"BENE",4.4,NA,"L"
"DALTON","7_3",3,7,"SALIX",1,NA,"L"
"DALTON","7_3",3,7,"ALCR",2.2,NA,"L"
"DALTON","7_3",3,8,"BENE",0.7,NA,"L"
"DALTON","7_3",3,8,"SALIX",1.55,NA,"L"
"DALTON","7_3",3,8,"ALCR",1.1,NA,"L"
"DALTON","7_3",3,9,"BENE",0.76,NA,"L"
"DALTON","7_3",3,9,"SALIX",0.9,NA,"L"
"DALTON","7_3",3,9,"ALCR",2.1,NA,"L"
"DALTON","7_3",3,10,"BENE",0.7,NA,"D"
"DALTON","7_3",3,10,"SALIX",1,NA,"L"
"DALTON","7_3",3,10,"ALCR",1.5,NA,"L"
"DALTON","37_3",3,1,"BENE",2.55,NA,"L"
"DALTON","37_3",3,1,"SALIX",0.5,NA,"D"
"DALTON","37_3",3,1,"ALCR",2.1,NA,"L"
"DALTON","37_3",3,2,"BENE",0.9,NA,"L"
"DALTON","37_3",3,2,"SALIX",1,NA,"L"
"DALTON","37_3",3,2,"ALCR",2.2,NA,"L"
"DALTON","37_3",3,3,"BENE",0.4,NA,"L"
"DALTON","37_3",3,3,"SALIX",0.94,NA,"L"
"DALTON","37_3",3,3,"ALCR",1.45,NA,"L"
"DALTON","37_3",3,4,"BENE",0.8,NA,"L"
"DALTON","37_3",3,4,"SALIX",0.6,NA,"L"
"DALTON","37_3",3,4,"ALCR",1.2,NA,"L"
"DALTON","37_3",3,5,"BENE",2.15,NA,"L"
"DALTON","37_3",3,5,"SALIX",1.6,NA,"L"
"DALTON","37_3",3,5,"ALCR",3.6,NA,"L"
"DALTON","37_3",3,6,"BENE",3.1,NA,"L"
"DALTON","37_3",3,6,"SALIX",1.05,NA,"L"
"DALTON","37_3",3,6,"ALCR",3.9,NA,"L"
"DALTON","37_3",3,6,"UKN",1.5,NA,"D"
"DALTON","37_3",3,7,"BENE",1.1,NA,"L"
"DALTON","37_3",3,7,"SALIX",1.2,NA,"L"
"DALTON","37_3",3,7,"ALCR",4.1,NA,"L"
"DALTON","37_3",3,8,"BENE",2.7,NA,"L"
"DALTON","37_3",3,8,"SALIX",1.9,NA,"L"
"DALTON","37_3",3,8,"ALCR",2.8,NA,"L"
"DALTON","37_3",3,9,"BENE",1.3,NA,"L"
"DALTON","37_3",3,9,"SALIX",2.9,NA,"L"
"DALTON","37_3",3,9,"ALCR",0.7,NA,"L"
"DALTON","37_3",3,10,"BENE",0.2,NA,"L"
"DALTON","37_3",3,10,"SALIX",0.9,NA,"L"
"DALTON","37_3",3,10,"ALCR",0.6,NA,"L"
"DALTON","14_3",3,1,"BENE",1,NA,"L"
"DALTON","14_3",3,1,"SALIX",2.3,NA,"L"
"DALTON","14_3",3,1,"ALCR",2.6,NA,"L"
"DALTON","14_3",3,2,"BENE",0.4,NA,"L"
"DALTON","14_3",3,2,"SALIX",2.16,NA,"L"
"DALTON","14_3",3,2,"ALCR",1.6,NA,"L"
"DALTON","14_3",3,3,"BENE",1.2,NA,"L"
"DALTON","14_3",3,3,"SALIX",0.9,NA,"L"
"DALTON","14_3",3,3,"ALCR",0.9,NA,"L"
"DALTON","14_3",3,4,"BENE",1.25,NA,"L"
"DALTON","14_3",3,4,"SALIX",2.2,NA,"L"
"DALTON","14_3",3,4,"ALCR",3,NA,"L"
"DALTON","14_3",3,5,"BENE",2.5,NA,"L"
"DALTON","14_3",3,5,"SALIX",1.4,NA,"L"
"DALTON","14_3",3,5,"ALCR",3.1,NA,"L"
"DALTON","14_3",3,6,"BENE",0.9,NA,"L"
"DALTON","14_3",3,6,"SALIX",1.5,NA,"L"
"DALTON","14_3",3,6,"ALCR",0.5,NA,"L"
"DALTON","14_3",3,7,"BENE",3.1,NA,"L"
"DALTON","14_3",3,7,"SALIX",1,NA,"L"
"DALTON","14_3",3,7,"ALCR",5.2,NA,"L"
"DALTON","14_3",3,8,"BENE",3.2,NA,"L"
"DALTON","14_3",3,8,"SALIX",0.7,NA,"L"
"DALTON","14_3",3,8,"ALCR",2,NA,"L"
"DALTON","14_3",3,9,"BENE",4.2,NA,"L"
"DALTON","14_3",3,9,"SALIX",1.2,NA,"L"
"DALTON","14_3",3,9,"ALCR",0.65,NA,"L"
"DALTON","14_3",3,10,"BENE",1.33,NA,"L"
"DALTON","14_3",3,10,"SALIX",1.4,NA,"L"
"DALTON","14_3",3,10,"ALCR",1.45,NA,"L"
"DALTON","55_3",3,1,"BENE",0.4,NA,"L"
"DALTON","55_4",3,1,"SALIX",1.3,NA,"L"
"DALTON","55_5",3,1,"ALCR",3.3,NA,"L"
"DALTON","55_6",3,2,"BENE",0.35,NA,"L"
"DALTON","55_7",3,2,"SALIX",1.2,NA,"L"
"DALTON","55_8",3,2,"ALCR",2.5,NA,"L"
"DALTON","55_9",3,3,"BENE",0.8,NA,"L"
"DALTON","55_10",3,3,"SALIX",1.45,NA,"L"
"DALTON","55_11",3,3,"ALCR",5.8,NA,"L"
"DALTON","55_12",3,4,"BENE",1,NA,"L"
"DALTON","55_13",3,4,"SALIX",1.05,NA,"L"
"DALTON","55_14",3,4,"ALCR",1.46,NA,"L"
"DALTON","55_15",3,4,"UKN",0.6,NA,"D"
"DALTON","55_16",3,5,"BENE",0.75,NA,"L"
"DALTON","55_17",3,5,"SALIX",2.2,NA,"L"
"DALTON","55_18",3,5,"ALCR",4.04,NA,"L"
"DALTON","55_19",3,6,"BENE",1.25,NA,"L"
"DALTON","55_20",3,6,"SALIX",0.97,NA,"L"
"DALTON","55_21",3,6,"ALCR",NA,27,"L"
"DALTON","55_22",3,7,"BENE",0.48,NA,"L"
"DALTON","55_23",3,7,"SALIX",1.44,NA,"L"
"DALTON","55_24",3,7,"ALCR",4.2,NA,"L"
"DALTON","55_25",3,8,"BENE",0.65,NA,"L"
"DALTON","55_26",3,8,"SALIX",2,NA,"L"
"DALTON","55_27",3,8,"ALCR",5.84,NA,"L"
"DALTON","55_28",3,9,"BENE",0.36,NA,"L"
"DALTON","55_29",3,9,"SALIX",1.9,NA,"L"
