tree,maxfuel,minfuel
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1168_vegout.csv,0.15,0.15
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1169_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree117_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1170_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1171_vegout.csv,0.15,0.15
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1172_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1173_vegout.csv,0.15,0.15
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1174_vegout.csv,0.05,0.015381
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1175_vegout.csv,0.25,0.25
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1176_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1177_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1178_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1179_vegout.csv,0.15,0.15
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree118_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1180_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1181_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1182_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1183_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1184_vegout.csv,0.1,1e-4
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1185_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1186_vegout.csv,0.15,1.5e-4
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1187_vegout.csv,0.1,1e-4
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1188_vegout.csv,0.15,0.15
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1189_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree119_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1190_vegout.csv,0.05,5e-5
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1191_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1192_vegout.csv,0.15,0.15
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1193_vegout.csv,0.1,1e-4
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1194_vegout.csv,0.2,0.2
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1195_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1196_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1197_vegout.csv,0.15,0.15
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1198_vegout.csv,0.15,0.15
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1199_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree12_vegout.csv,0.15,0.15
