Site,Plot,Fires,Frame,Species,Distance_m,Distance_ft,Live/Dead
STEESE,3_2,2,7,ALCR,0.74,,L
STEESE,3_2,2,8,BENE,1.24,,L
STEESE,3_2,2,8,POTR,7,,L
STEESE,3_2,2,8,ARCTO,2.1,,L
STEESE,3_2,2,8,PIME,1.7,,D
STEESE,3_2,2,8,ALCR,3.5,,L
STEESE,3_2,2,9,BENE,1.89,,L
STEESE,3_2,2,9,POTR,4.45,,L
STEESE,3_2,2,9,ARCTO,2.5,,L
STEESE,3_2,2,9,PIME,1.44,,D
STEESE,3_2,2,9,ALCR,4.93,,L
STEESE,3_2,2,10,BENE,2.52,,L
STEESE,3_2,2,10,POTR,5.73,,L
STEESE,3_2,2,10,ARCTO,4.53,,L
STEESE,3_2,2,10,PIME,1.05,,D
STEESE,3_2,2,10,ALCR,7,,L
STEESE,26_2,2,1,BENE,1.9,,L
STEESE,26_2,2,1,POTR,0.42,,L
STEESE,26_2,2,1,ARCTO,4.5,,L
STEESE,26_2,2,1,PIME,1.5,,L
STEESE,26_2,2,1,ALCR,1.73,,L
STEESE,26_2,2,1,SALIX,0.6,,L
STEESE,26_2,2,2,BENE,0.9,,L
STEESE,26_2,2,2,POTR,1.58,,L
STEESE,26_2,2,2,ARCTO,1.33,,L
STEESE,26_2,2,2,PIME,3.2,,L
STEESE,26_2,2,2,ALCR,5.35,,L
STEESE,26_2,2,2,SALIX,0.76,,L
STEESE,26_2,2,3,BENE,0.8,,L
STEESE,26_2,2,3,POTR,0.39,,L
STEESE,26_2,2,3,ARCTO,1.68,,L
STEESE,26_2,2,3,PIME,1.54,,D
STEESE,26_2,2,3,ALCR,1.62,,L
STEESE,26_2,2,3,SALIX,0.7,,L
STEESE,26_2,2,4,BENE,0.49,,L
STEESE,26_2,2,4,POTR,1.1,,L
STEESE,26_2,2,4,ARCTO,2.3,,L
STEESE,26_2,2,4,PIME,1.36,,L
STEESE,26_2,2,4,ALCR,3.4,,L
STEESE,26_2,2,4,SALIX,0.74,,L
STEESE,26_2,2,5,BENE,0.74,,L
STEESE,26_2,2,5,POTR,1.3,,L
STEESE,26_2,2,5,ARCTO,,27,L
STEESE,26_2,2,5,PIME,1,,D
STEESE,26_2,2,5,ALCR,4.5,,L
STEESE,26_2,2,5,SALIX,0.4,,L
STEESE,26_2,2,6,BENE,1.73,,L
STEESE,26_2,2,6,POTR,2,,L
STEESE,26_2,2,6,ARCTO,0.87,,L
STEESE,26_2,2,6,PIME,1.51,,D
STEESE,26_2,2,6,ALCR,1.2,,L
STEESE,26_2,2,6,SALIX,1.62,,L
STEESE,26_2,2,7,BENE,1.2,,L
STEESE,26_2,2,7,POTR,1.3,,L
STEESE,26_2,2,7,ARCTO,2.58,,L
STEESE,26_2,2,7,PIME,0.7,,L
STEESE,26_2,2,7,ALCR,3.4,,L
STEESE,26_2,2,7,SALIX,1,,L
STEESE,26_2,2,8,BENE,1.5,,L
STEESE,26_2,2,8,POTR,0.9,,L
STEESE,26_2,2,8,ARCTO,1.45,,L
STEESE,26_2,2,8,PIME,0.97,,L
STEESE,26_2,2,8,ALCR,1.45,,L
STEESE,26_2,2,8,SALIX,1.92,,L
STEESE,26_2,2,9,BENE,0.77,,L
STEESE,26_2,2,9,POTR,0.6,,L
STEESE,26_2,2,9,ARCTO,2.2,,L
STEESE,26_2,2,9,PIME,1.12,,L
STEESE,26_2,2,9,ALCR,1.17,,L
STEESE,26_2,2,9,SALIX,0.99,,L
STEESE,26_2,2,10,BENE,0.5,,L
STEESE,26_2,2,10,POTR,0.57,,L
STEESE,26_2,2,10,ARCTO,2.55,,L
STEESE,26_2,2,10,PIME,0.81,,L
STEESE,26_2,2,10,ALCR,0.6,,L
STEESE,26_2,2,10,SALIX,0.99,,L
STEESE,4_2,2,1,BENE,1.15,,L
STEESE,4_2,2,1,PIME,1.15,,D
STEESE,4_2,2,1,POTR,1.9,,L
STEESE,4_2,2,1,SALIX,,24.5,L
STEESE,4_2,2,1,ALCR,7.8,,L
STEESE,4_2,2,2,BENE,0.6,,L
STEESE,4_2,2,2,PIME,0.84,,D
STEESE,4_2,2,2,POTR,5.6,,L
STEESE,4_2,2,2,SALIX,2.1,,L
STEESE,4_2,2,2,ALCR,,50.5,L
STEESE,4_2,2,3,BENE,1.97,,L
STEESE,4_2,2,3,PIME,0.53,,D
STEESE,4_2,2,3,POTR,,16,L
STEESE,4_2,2,3,SALIX,1.96,,L
STEESE,4_2,2,3,ALCR,,30.5,L
STEESE,4_2,2,4,BENE,1.4,,L
STEESE,4_2,2,4,PIME,0.5,,D
STEESE,4_2,2,4,POTR,2.13,,L
STEESE,4_2,2,4,SALIX,,28.5,L
STEESE,4_2,2,4,ALCR,,22,L
STEESE,4_2,2,5,BENE,2.24,,L
STEESE,4_2,2,5,PIME,0.34,,D
STEESE,4_2,2,5,POTR,6.04,,L
STEESE,4_2,2,5,SALIX,2.85,,L
STEESE,4_2,2,5,ALCR,,29,L
STEESE,4_2,2,6,BENE,2.45,,L
STEESE,4_2,2,6,PIME,0.55,,D
STEESE,4_2,2,6,POTR,,22,L
STEESE,4_2,2,6,SALIX,4.6,,L
STEESE,4_2,2,6,ALCR,,31,L
STEESE,4_2,2,7,BENE,0.6,,L
STEESE,4_2,2,7,PIME,0.7,,D
STEESE,4_2,2,7,POTR,1.2,,L
STEESE,4_2,2,7,SALIX,6.23,,L
STEESE,4_2,2,7,ALCR,2.75,,L
STEESE,4_2,2,8,BENE,1.2,,L
STEESE,4_2,2,8,PIME,0.43,,D
STEESE,4_2,2,8,POTR,1.85,,L
STEESE,4_2,2,8,SALIX,3,,L
STEESE,4_2,2,8,ALCR,,46,L
STEESE,4_2,2,9,BENE,1.15,,L
STEESE,4_2,2,9,PIME,0.9,,D
STEESE,4_2,2,9,POTR,1.37,,L
STEESE,4_2,2,9,SALIX,4.7,,L
STEESE,4_2,2,9,ALCR,4.85,,L
STEESE,4_2,2,10,BENE,1.9,,L
STEESE,4_2,2,10,PIME,0.54,,D
STEESE,4_2,2,10,POTR,2.9,,L
STEESE,4_2,2,10,SALIX,,26,L
STEESE,4_2,2,10,ALCR,8.95,,L
STEESE,27_2,2,1,BENE,2.2,,L
STEESE,27_2,2,1,PIME,0.72,,D
STEESE,27_2,2,1,POTR,2.2,,L
STEESE,27_2,2,1,SALIX,2.2,,L
STEESE,27_2,2,1,ALCR,,43,L
STEESE,27_2,2,2,BENE,2.1,,L
STEESE,27_2,2,2,PIME,1.33,,D
STEESE,27_2,2,2,POTR,1.2,,L
STEESE,27_2,2,2,SALIX,3.62,,L
STEESE,27_2,2,2,ALCR,1.97,,L
STEESE,27_2,2,3,BENE,1.7,,L
STEESE,27_2,2,3,PIME,0.52,,D
STEESE,27_2,2,3,POTR,0.6,,L
STEESE,27_2,2,3,SALIX,2.62,,L
STEESE,27_2,2,3,ALCR,,38,L
STEESE,27_2,2,4,BENE,1.64,,L
STEESE,27_2,2,4,PIME,0.53,,D
STEESE,27_2,2,4,POTR,2.5,,L
STEESE,27_2,2,4,SALIX,1.04,,L
STEESE,27_2,2,4,ALCR,,32.5,L
STEESE,27_2,2,5,BENE,1.6,,L
STEESE,27_2,2,5,PIME,2.45,,D
STEESE,27_2,2,5,POTR,2.25,,L
STEESE,27_2,2,5,SALIX,4,,L
STEESE,27_2,2,5,ALCR,,40,L
STEESE,27_2,2,6,BENE,2.7,,L
STEESE,27_2,2,6,PIME,0.5,,D
STEESE,27_2,2,6,POTR,4.2,,L
STEESE,27_2,2,6,SALIX,1,,L
STEESE,27_2,2,6,ALCR,,25,L
STEESE,27_2,2,7,BENE,1.2,,L
STEESE,27_2,2,7,PIME,0.8,,D
STEESE,27_2,2,7,POTR,1.77,,L
STEESE,27_2,2,7,SALIX,2.3,,L
STEESE,27_2,2,7,ALCR,4.9,,L
STEESE,27_2,2,8,BENE,2.2,,L
STEESE,27_2,2,8,PIME,1.64,,D
STEESE,27_2,2,8,POTR,2.3,,L
STEESE,27_2,2,8,SALIX,1.32,,L
STEESE,27_2,2,8,ALCR,,32.5,L
STEESE,27_2,2,9,BENE,1.1,,L
STEESE,27_2,2,9,PIME,1.17,,D
STEESE,27_2,2,9,POTR,1.5,,L
STEESE,27_2,2,9,SALIX,1,,L
STEESE,27_2,2,9,ALCR,5.6,,L
STEESE,27_2,2,10,BENE,0.74,,L
STEESE,27_2,2,10,PIME,0.7,,D
STEESE,27_2,2,10,POTR,0.8,,L
STEESE,27_2,2,10,SALIX,4.45,,L
STEESE,27_2,2,10,ALCR,,44,L
STEESE,5_1,1,1,BENE,0.87,,L
STEESE,5_1,1,1,PIME,1.3,,D
STEESE,5_1,1,1,POTR,7.52,,L
STEESE,5_1,1,1,ALCR,4.87,,L
STEESE,5_1,1,1,SALIX,7.23,,L
STEESE,5_1,1,1,ARCTO,,23,L
