Site,Plot,Fires,Frame,Species,Distance_m,Distance_ft,Live/Dead
DALTON,54_3,3,8,POTR,4.3,,L
DALTON,54_3,3,9,BENE,1.33,,L
DALTON,54_3,3,9,SALIX,2.8,,L
DALTON,54_3,3,9,POTR,13.9,,L
DALTON,54_3,3,10,BENE,1,,L
DALTON,54_3,3,10,SALIX,2.57,,L
DALTON,54_3,3,10,POTR,13.37,,L
DALTON,41_1,1,1,BENE,,9.5,L
DALTON,41_1,1,1,SALIX,0.6,,L
DALTON,41_1,1,1,POTR,,40.5,L
DALTON,41_1,1,1,PIME,1.65,,D
DALTON,41_1,1,1,ALCR,,24.5,L
DALTON,41_1,1,2,BENE,1,,D
DALTON,41_1,1,2,SALIX,1.83,,L
DALTON,41_1,1,2,POTR,3,,L
DALTON,41_1,1,2,PIME,1.6,,D
DALTON,41_1,1,2,ALCR,,39,L
DALTON,41_1,1,3,BENE,4.2,,L
DALTON,41_1,1,3,SALIX,,19,L
DALTON,41_1,1,3,POTR,4.5,,L
DALTON,41_1,1,3,PIME,2.2,,D
DALTON,41_1,1,3,ALCR,,58,L
DALTON,41_1,1,4,BENE,0.5,,L
DALTON,41_1,1,4,SALIX,2.1,,L
DALTON,41_1,1,4,POTR,,32,L
DALTON,41_1,1,4,PIME,0.8,,D
DALTON,41_1,1,4,ALCR,2.7,,L
DALTON,41_1,1,5,BENE,1.3,,L
DALTON,41_1,1,5,SALIX,1.8,,L
DALTON,41_1,1,5,POTR,,36,L
DALTON,41_1,1,5,PIME,1.53,,D
DALTON,41_1,1,5,ALCR,,64.5,L
DALTON,41_1,1,6,BENE,2.3,,L
DALTON,41_1,1,6,SALIX,3.8,,L
DALTON,41_1,1,6,POTR,,34,L
DALTON,41_1,1,6,PIME,0.6,,D
DALTON,41_1,1,6,ALCR,,70.5,L
DALTON,41_1,1,7,BENE,4.6,,L
DALTON,41_1,1,7,SALIX,0.57,,L
DALTON,41_1,1,7,POTR,4.4,,L
DALTON,41_1,1,7,PIME,1.3,,D
DALTON,41_1,1,7,ALCR,,24.5,L
DALTON,41_1,1,8,BENE,,22,L
DALTON,41_1,1,8,SALIX,3.6,,L
DALTON,41_1,1,8,POTR,,25.5,L
DALTON,41_1,1,8,PIME,1.4,,D
DALTON,41_1,1,8,ALCR,,19.5,L
DALTON,41_1,1,9,BENE,1,,D
DALTON,41_1,1,9,SALIX,2.1,,L
DALTON,41_1,1,9,POTR,,34.5,L
DALTON,41_1,1,9,PIME,1.8,,D
DALTON,41_1,1,9,ALCR,,52,L
DALTON,41_1,1,10,BENE,,13.1,D
DALTON,41_1,1,10,SALIX,,18,L
DALTON,41_1,1,10,POTR,,16.5,L
DALTON,41_1,1,10,PIME,2.9,,D
DALTON,41_1,1,10,ALCR,,59,L
DALTON,48_1,1,1,BENE,1.1,,L
DALTON,48_1,1,1,SALIX,2.13,,L
DALTON,48_1,1,1,POTR,2.9,,L
DALTON,48_1,1,1,PIME,1.8,,D
DALTON,48_1,1,1,ALCR,4.33,,L
DALTON,48_1,1,2,BENE,1.63,,L
DALTON,48_1,1,2,SALIX,0.95,,L
DALTON,48_1,1,2,POTR,,20,L
DALTON,48_1,1,2,PIME,1.65,,D
DALTON,48_1,1,2,ALCR,,67,L
DALTON,48_1,1,3,BENE,2.4,,L
DALTON,48_1,1,3,SALIX,2.2,,L
DALTON,48_1,1,3,POTR,,29,L
DALTON,48_1,1,3,PIME,1.58,,D
DALTON,48_1,1,3,ALCR,,23,L
DALTON,48_1,1,4,BENE,0.94,,L
DALTON,48_1,1,4,SALIX,0.85,,L
DALTON,48_1,1,4,POTR,3.8,,L
DALTON,48_1,1,4,PIME,1.3,,D
DALTON,48_1,1,4,ALCR,,24,L
DALTON,48_1,1,5,BENE,2.9,,L
DALTON,48_1,1,5,SALIX,1,,L
DALTON,48_1,1,5,POTR,,15.5,L
DALTON,48_1,1,5,PIME,1.48,,L
DALTON,48_1,1,5,ALCR,,33.5,L
DALTON,48_1,1,6,BENE,0.45,,L
DALTON,48_1,1,6,SALIX,0.35,,L
DALTON,48_1,1,6,POTR,3.4,,L
DALTON,48_1,1,6,PIME,1.6,,D
DALTON,48_1,1,6,ALCR,1.65,,L
DALTON,48_1,1,7,BENE,0.8,,L
DALTON,48_1,1,7,SALIX,3.1,,L
DALTON,48_1,1,7,POTR,4.9,,L
DALTON,48_1,1,7,PIME,2.9,,D
DALTON,48_1,1,7,ALCR,,42,L
DALTON,48_1,1,8,BENE,0.67,,L
DALTON,48_1,1,8,SALIX,0.64,,L
DALTON,48_1,1,8,POTR,0.56,,L
DALTON,48_1,1,8,PIME,1.44,,D
DALTON,48_1,1,8,ALCR,4.52,,L
DALTON,48_1,1,9,BENE,1.47,,L
DALTON,48_1,1,9,SALIX,1.2,,L
DALTON,48_1,1,9,POTR,4.54,,L
DALTON,48_1,1,9,PIME,0.8,,D
DALTON,48_1,1,9,ALCR,,36.5,L
DALTON,48_1,1,10,BENE,1.3,,L
DALTON,48_1,1,10,SALIX,2.41,,L
DALTON,48_1,1,10,POTR,4.3,,L
DALTON,48_1,1,10,PIME,2.15,,D
DALTON,48_1,1,10,ALCR,,39,L
DALTON,40_2,2,1,BENE,,16,L
DALTON,40_2,2,1,SALIX,3,,L
DALTON,40_2,2,1,PIME,,15.5,D
DALTON,40_2,2,1,ALCR,3,,L
DALTON,40_2,2,1,POTR,,37,L
DALTON,40_2,2,2,BENE,2.86,,L
DALTON,40_2,2,2,SALIX,1,,L
DALTON,40_2,2,2,PIME,1.1,,L
DALTON,40_2,2,2,ALCR,,46.5,L
DALTON,40_2,2,2,POTR,4.5,,L
DALTON,40_2,2,3,BENE,3.4,,L
DALTON,40_2,2,3,SALIX,3.2,,L
DALTON,40_2,2,3,PIME,1,,D
DALTON,40_2,2,3,ALCR,,26.5,L
DALTON,40_2,2,3,POTR,5.1,,L
DALTON,40_2,2,4,BENE,3.3,,L
DALTON,40_2,2,4,SALIX,2.87,,L
DALTON,40_2,2,4,PIME,3.74,,D
DALTON,40_2,2,4,ALCR,4.3,,L
DALTON,40_2,2,4,POTR,,52.5,L
DALTON,40_2,2,5,BENE,1.25,,L
DALTON,40_2,2,5,SALIX,2.7,,L
DALTON,40_2,2,5,PIME,3.45,,L
DALTON,40_2,2,5,ALCR,,37,L
DALTON,40_2,2,5,POTR,1.26,,L
DALTON,40_2,2,6,BENE,2.7,,L
DALTON,40_2,2,6,SALIX,1.4,,L
DALTON,40_2,2,6,PIME,3.1,,L
DALTON,40_2,2,6,ALCR,,35.25,L
DALTON,40_2,2,6,POTR,2.01,,L
DALTON,40_2,2,7,BENE,2.8,,L
DALTON,40_2,2,7,SALIX,2.8,,L
DALTON,40_2,2,7,PIME,3.4,,L
DALTON,40_2,2,7,ALCR,8.1,,L
DALTON,40_2,2,7,POTR,3.2,,L
DALTON,40_2,2,8,BENE,1,,L
DALTON,40_2,2,8,SALIX,2.3,,L
DALTON,40_2,2,8,PIME,2,,D
DALTON,40_2,2,8,ALCR,,46,L
DALTON,40_2,2,8,POTR,5.5,,L
DALTON,40_2,2,9,BENE,3.05,,L
